,Response,Context,Subject,Item,Rater
406,2,n-3,p04,noo3-w,R01
407,4,isolation,p04,noo3-v,R01
408,2,o-3,p04,djuu3-w,R01
409,4,isolation,p04,djuu3-v,R01
410,3,n-7,p04,nuu7-w,R01
411,3,isolation,p04,nuu7-v,R01
412,1,3--3,p04,3oo3-w,R01
413,2,isolation,p04,3oo3-v,R01
414,2,o-7,p04,loo7-w,R01
415,1,o-3,p04,bii3-w,R01
416,2,isolation,p04,bii3-v,R01
417,2,o-7,p04,zii7-w,R01
418,2,o-o,p04,daas-w,R01
419,5,n-o,p04,maat-w,R01
420,4,isolation,p04,maat-v,R01
421,1,7-n,p04,7en-w,R01
422,5,o-n,p04,diin-w,R01
423,2,o-7,p04,zaa7-w,R01
424,2,n-7,p04,naa7-w,R01
425,2,isolation,p04,naa7-v,R01
426,4,n-n,p04,naam-w,R01
427,4,isolation,p04,naam-v,R01
428,2,o-n,p04,doom-w,R01
429,3,isolation,p04,doom-v,R01
430,1,3-n,p04,3oon-w,R01
431,2,n-n,p04,noom-w,R01
432,2,n-n,p04,muun-w,R01
433,4,n-o,p04,muus-w,R01
434,4,n-o,p04,mooz-w,R01
435,2,7-o,p04,7ook-w,R01
436,5,7-n,p04,7oom-w,R01
437,1,3-o,p04,3aaf-w,R01
438,1,3-o,p04,3eeb-w,R01
439,5,isolation,p04,3eeb-v,R01
440,5,3-n,p04,3aam-w,R01
441,3,7-o,p04,7aad-w,R01
442,4,3-n,p04,3een-w,R01
443,2,3-o,p04,3iish-w,R01
444,2,7-o,p04,7eef-w,R01
445,4,isolation,p04,7eef-v,R01
446,3,o-n,p04,saam-w,R01
447,2,isolation,p04,saam-v,R01
448,2,o-3,p04,baa3-w,R01
449,2,o-o,p04,beet-w,R01
450,2,o-o,p04,boosh-w,R01
451,4,n-3,p01,noo3-w,R01
452,2,isolation,p01,noo3-v,R01
453,1,o-o,p01,daas-w,R01
454,5,n-o,p01,maat-w,R01
455,2,isolation,p01,maat-v,R01
456,1,7-n,p01,7en-w,R01
457,3,o-n,p01,diin-w,R01
458,2,o-7,p01,zaa7-w,R01
459,3,o-3,p01,djuu3-w,R01
460,2,isolation,p01,djuu3-v,R01
461,4,n-7,p01,nuu7-w,R01
462,2,isolation,p01,nuu7-v,R01
463,2,3--3,p01,3oo3-w,R01
464,2,isolation,p01,3oo3-v,R01
465,1,o-7,p01,loo7-w,R01
466,1,o-3,p01,bii3-w,R01
467,2,isolation,p01,bii3-v,R01
468,2,o-7,p01,zii7-w,R01
469,2,3-n,p01,3oon-w,R01
470,4,n-n,p01,noom-w,R01
471,5,n-n,p01,muun-w,R01
472,5,n-o,p01,muus-w,R01
473,5,n-o,p01,mooz-w,R01
474,4,7-o,p01,7ook-w,R01
475,4,7-n,p01,7oom-w,R01
476,2,3-o,p01,3aaf-w,R01
477,4,n-7,p01,naa7-w,R01
478,2,isolation,p01,naa7-v,R01
479,3,n-n,p01,naam-w,R01
480,1,isolation,p01,naam-v,R01
481,4,o-n,p01,doom-w,R01
482,3,isolation,p01,doom-v,R01
483,2,3-o,p01,3eeb-w,R01
484,2,isolation,p01,3eeb-v,R01
485,2,3-n,p01,3aam-w,R01
486,2,7-o,p01,7aad-w,R01
487,4,3-n,p01,3een-w,R01
488,2,3-o,p01,3iish-w,R01
489,3,7-o,p01,7eef-w,R01
490,3,isolation,p01,7eef-v,R01
491,5,o-n,p01,saam-w,R01
492,4,isolation,p01,saam-v,R01
493,5,o-3,p01,baa3-w,R01
494,2,o-o,p01,beet-w,R01
495,1,o-o,p01,boosh-w,R01
496,5,n-3,p05,noo3-w,R01
497,4,isolation,p05,noo3-v,R01
498,2,o-o,p05,daas-w,R01
499,5,n-o,p05,maat-w,R01
500,1,isolation,p05,maat-v,R01
501,2,7-n,p05,7en-w,R01
502,4,o-n,p05,diin-w,R01
503,2,o-7,p05,zaa7-w,R01
504,3,o-3,p05,djuu3-w,R01
505,4,isolation,p05,djuu3-v,R01
506,5,n-7,p05,nuu7-w,R01
507,2,isolation,p05,nuu7-v,R01
508,2,3--3,p05,3oo3-w,R01
509,1,isolation,p05,3oo3-v,R01
510,2,o-7,p05,loo7-w,R01
511,3,o-3,p05,bii3-w,R01
512,1,isolation,p05,bii3-v,R01
513,2,o-7,p05,zii7-w,R01
514,4,n-n,p05,noom-w,R01
515,5,n-n,p05,muun-w,R01
516,5,n-o,p05,muus-w,R01
517,4,n-o,p05,mooz-w,R01
518,3,7-o,p05,7ook-w,R01
519,1,7-n,p05,7oom-w,R01
520,2,3-o,p05,3aaf-w,R01
521,5,n-7,p05,naa7-w,R01
522,2,isolation,p05,naa7-v,R01
523,5,n-n,p05,naam-w,R01
524,3,isolation,p05,naam-v,R01
525,4,o-n,p05,doom-w,R01
526,2,isolation,p05,doom-v,R01
527,5,3-n,p05,3oon-w,R01
528,1,3-o,p05,3eeb-w,R01
529,2,isolation,p05,3eeb-v,R01
530,5,o-n,p05,saam-w,R01
531,3,isolation,p05,saam-v,R01
532,5,3-n,p05,3aam-w,R01
533,2,7-o,p05,7aad-w,R01
534,5,3-n,p05,3een-w,R01
535,2,3-o,p05,3iish-w,R01
536,2,7-o,p05,7eef-w,R01
537,1,isolation,p05,7eef-v,R01
538,2,o-3,p05,baa3-w,R01
539,2,o-o,p05,beet-w,R01
540,1,o-o,p05,boosh-w,R01
541,5,n-3,p02,noo3-w,R01
542,3,isolation,p02,noo3-v,R01
543,2,o-o,p02,daas-w,R01
544,5,n-o,p02,maat-w,R01
545,1,isolation,p02,maat-v,R01
546,5,7-n,p02,7en-w,R01
547,5,o-n,p02,diin-w,R01
548,2,o-7,p02,zaa7-w,R01
549,4,o-3,p02,djuu3-w,R01
550,3,isolation,p02,djuu3-v,R01
551,5,n-7,p02,nuu7-w,R01
552,3,isolation,p02,nuu7-v,R01
553,3,3--3,p02,3oo3-w,R01
554,1,isolation,p02,3oo3-v,R01
555,2,o-7,p02,loo7-w,R01
556,2,o-3,p02,bii3-w,R01
557,2,isolation,p02,bii3-v,R01
558,3,o-7,p02,zii7-w,R01
559,5,n-o,p02,muus-w,R01
560,3,n-o,p02,mooz-w,R01
561,1,7-o,p02,7ook-w,R01
562,4,7-n,p02,7oom-w,R01
563,4,n-7,p02,naa7-w,R01
564,5,3-o,p02,3aaf-w,R01
565,3,isolation,p02,naa7-v,R01
566,5,n-n,p02,naam-w,R01
567,2,isolation,p02,naam-v,R01
568,4,o-n,p02,doom-w,R01
569,1,isolation,p02,doom-v,R01
570,5,3-n,p02,3oon-w,R01
571,4,n-n,p02,noom-w,R01
572,5,n-n,p02,muun-w,R01
573,2,3-o,p02,3eeb-w,R01
574,5,o-n,p02,saam-w,R01
575,4,isolation,p02,saam-v,R01
576,3,isolation,p02,3eeb-v,R01
577,5,3-n,p02,3aam-w,R01
578,5,7-o,p02,7aad-w,R01
579,5,3-n,p02,3een-w,R01
580,3,3-o,p02,3iish-w,R01
581,4,7-o,p02,7eef-w,R01
582,5,isolation,p02,7eef-v,R01
583,2,o-3,p02,baa3-w,R01
584,1,o-o,p02,beet-w,R01
585,2,o-o,p02,boosh-w,R01
586,5,n-3,p03,noo3-w,R01
587,3,isolation,p03,noo3-v,R01
588,2,o-o,p03,daas-w,R01
589,4,n-o,p03,maat-w,R01
590,4,isolation,p03,maat-v,R01
591,3,7-n,p03,7en-w,R01
592,3,o-n,p03,diin-w,R01
593,1,o-7,p03,zaa7-w,R01
594,3,o-3,p03,djuu3-w,R01
595,3,isolation,p03,djuu3-v,R01
596,5,n-7,p03,nuu7-w,R01
597,3,isolation,p03,nuu7-v,R01
598,2,3--3,p03,3oo3-w,R01
599,3,isolation,p03,3oo3-v,R01
600,1,o-7,p03,loo7-w,R01
601,3,o-3,p03,bii3-w,R01
602,4,isolation,p03,bii3-v,R01
603,2,o-7,p03,zii7-w,R01
604,5,n-n,p03,muun-w,R01
605,5,n-o,p03,muus-w,R01
606,4,n-o,p03,mooz-w,R01
607,2,7-o,p03,7ook-w,R01
608,5,7-n,p03,7oom-w,R01
609,2,3-o,p03,3aaf-w,R01
610,2,n-7,p03,naa7-w,R01
611,2,isolation,p03,naa7-v,R01
612,2,n-n,p03,naam-w,R01
613,1,isolation,p03,naam-v,R01
614,4,o-n,p03,doom-w,R01
615,3,isolation,p03,doom-v,R01
616,5,3-n,p03,3oon-w,R01
617,5,n-n,p03,noom-w,R01
618,4,3-o,p03,3eeb-w,R01
619,3,isolation,p03,3eeb-v,R01
620,5,3-n,p03,3aam-w,R01
621,2,7-o,p03,7aad-w,R01
622,5,3-n,p03,3een-w,R01
623,2,3-o,p03,3iish-w,R01
624,1,7-o,p03,7eef-w,R01
625,3,isolation,p03,7eef-v,R01
626,4,o-n,p03,saam-w,R01
627,3,isolation,p03,saam-v,R01
628,2,o-3,p03,baa3-w,R01
629,2,o-o,p03,beet-w,R01
630,2,o-o,p03,boosh-w,R01
631,4,n-3,p06,noo3-w,R01
632,2,isolation,p06,noo3-v,R01
633,2,o-o,p06,daas-w,R01
634,4,n-o,p06,maat-w,R01
635,3,isolation,p06,maat-v,R01
636,5,7-n,p06,7en-w,R01
637,4,o-n,p06,diin-w,R01
638,1,o-7,p06,zaa7-w,R01
639,3,o-3,p06,djuu3-w,R01
640,3,isolation,p06,djuu3-v,R01
641,4,n-7,p06,nuu7-w,R01
642,3,isolation,p06,nuu7-v,R01
643,3,3--3,p06,3oo3-w,R01
644,3,isolation,p06,3oo3-v,R01
645,2,o-7,p06,loo7-w,R01
646,2,o-3,p06,bii3-w,R01
647,2,isolation,p06,bii3-v,R01
648,1,o-7,p06,zii7-w,R01
649,3,n-n,p06,noom-w,R01
650,4,n-n,p06,muun-w,R01
651,4,n-o,p06,muus-w,R01
652,3,n-o,p06,mooz-w,R01
653,4,7-o,p06,7ook-w,R01
654,4,7-n,p06,7oom-w,R01
655,3,3-o,p06,3aaf-w,R01
656,2,n-7,p06,naa7-w,R01
657,2,isolation,p06,naa7-v,R01
658,4,n-n,p06,naam-w,R01
659,1,isolation,p06,naam-v,R01
660,4,o-n,p06,doom-w,R01
661,2,isolation,p06,doom-v,R01
662,5,3-n,p06,3oon-w,R01
663,1,3-o,p06,3eeb-w,R01
664,2,isolation,p06,3eeb-v,R01
665,5,3-n,p06,3aam-w,R01
666,2,7-o,p06,7aad-w,R01
667,4,3-n,p06,3een-w,R01
668,2,3-o,p06,3iish-w,R01
669,1,7-o,p06,7eef-w,R01
670,2,isolation,p06,7eef-v,R01
671,4,o-n,p06,saam-w,R01
672,2,isolation,p06,saam-v,R01
673,1,o-3,p06,baa3-w,R01
674,1,o-o,p06,beet-w,R01
675,4,o-o,p06,boosh-w,R01
676,4,n-3,p07,noo3-w,R01
677,1,isolation,p07,noo3-v,R01
678,1,o-3,p07,djuu3-w,R01
679,2,isolation,p07,djuu3-v,R01
680,3,n-7,p07,nuu7-w,R01
681,2,isolation,p07,nuu7-v,R01
682,2,3--3,p07,3oo3-w,R01
683,1,isolation,p07,3oo3-v,R01
684,2,o-7,p07,loo7-w,R01
685,1,o-3,p07,bii3-w,R01
686,2,isolation,p07,bii3-v,R01
687,3,o-7,p07,zii7-w,R01
688,1,o-o,p07,daas-w,R01
689,4,n-o,p07,maat-w,R01
690,1,isolation,p07,maat-v,R01
691,4,7-n,p07,7en-w,R01
692,5,o-n,p07,diin-w,R01
693,1,o-7,p07,zaa7-w,R01
694,1,n-7,p07,naa7-w,R01
695,2,isolation,p07,naa7-v,R01
696,2,n-n,p07,naam-w,R01
697,2,isolation,p07,naam-v,R01
698,4,o-n,p07,doom-w,R01
699,1,isolation,p07,doom-v,R01
700,1,3-n,p07,3oon-w,R01
701,5,n-n,p07,noom-w,R01
702,5,n-n,p07,muun-w,R01
703,5,n-o,p07,muus-w,R01
704,5,n-o,p07,mooz-w,R01
705,5,7-o,p07,7ook-w,R01
706,5,7-n,p07,7oom-w,R01
707,1,3-o,p07,3aaf-w,R01
708,3,3-o,p07,3eeb-w,R01
709,1,isolation,p07,3eeb-v,R01
710,4,o-n,p07,saam-w,R01
711,1,isolation,p07,saam-v,R01
712,5,3-n,p07,3aam-w,R01
713,1,7-o,p07,7aad-w,R01
714,5,3-n,p07,3een-w,R01
715,2,3-o,p07,3iish-w,R01
716,2,7-o,p07,7eef-w,R01
717,2,isolation,p07,7eef-v,R01
718,1,o-3,p07,baa3-w,R01
719,3,o-o,p07,beet-w,R01
720,4,o-o,p07,boosh-w,R01
721,5,n-3,p08,noo3-w,R01
722,2,isolation,p08,noo3-v,R01
723,4,o-o,p08,daas-w,R01
724,5,n-o,p08,maat-w,R01
725,2,isolation,p08,maat-v,R01
726,4,7-n,p08,7en-w,R01
727,5,o-n,p08,diin-w,R01
728,4,o-3,p08,djuu3-w,R01
729,1,isolation,p08,djuu3-v,R01
730,5,n-7,p08,nuu7-w,R01
731,3,isolation,p08,nuu7-v,R01
732,3,3--3,p08,3oo3-w,R01
733,3,isolation,p08,3oo3-v,R01
734,2,o-7,p08,loo7-w,R01
735,1,o-3,p08,bii3-w,R01
736,4,isolation,p08,bii3-v,R01
737,3,o-7,p08,zii7-w,R01
738,2,o-7,p08,zaa7-w,R01
739,4,o-n,p08,doom-w,R01
740,1,isolation,p08,doom-v,R01
741,5,3-n,p08,3oon-w,R01
742,5,n-n,p08,noom-w,R01
743,5,n-n,p08,muun-w,R01
744,5,n-o,p08,muus-w,R01
745,5,n-o,p08,mooz-w,R01
746,3,7-o,p08,7ook-w,R01
747,5,7-n,p08,7oom-w,R01
748,2,3-o,p08,3aaf-w,R01
749,5,n-7,p08,naa7-w,R01
750,3,isolation,p08,naa7-v,R01
751,5,n-n,p08,naam-w,R01
752,3,isolation,p08,naam-v,R01
753,2,3-o,p08,3eeb-w,R01
754,2,isolation,p08,3eeb-v,R01
755,5,o-n,p08,saam-w,R01
756,3,isolation,p08,saam-v,R01
757,5,3-n,p08,3aam-w,R01
758,5,7-o,p08,7aad-w,R01
759,4,3-n,p08,3een-w,R01
760,3,3-o,p08,3iish-w,R01
761,2,7-o,p08,7eef-w,R01
762,2,isolation,p08,7eef-v,R01
763,3,o-3,p08,baa3-w,R01
764,1,o-o,p08,beet-w,R01
765,2,o-o,p08,boosh-w,R01
766,3,n-3,p09,noo3-w,R01
767,1,isolation,p09,noo3-v,R01
768,4,o-o,p09,daas-w,R01
769,5,n-o,p09,maat-w,R01
770,4,isolation,p09,maat-v,R01
771,4,7-n,p09,7en-w,R01
772,5,o-n,p09,diin-w,R01
773,3,o-7,p09,zaa7-w,R01
774,3,o-3,p09,djuu3-w,R01
775,2,isolation,p09,djuu3-v,R01
776,4,n-7,p09,nuu7-w,R01
777,4,isolation,p09,nuu7-v,R01
778,2,3--3,p09,3oo3-w,R01
779,2,isolation,p09,3oo3-v,R01
780,2,o-7,p09,loo7-w,R01
781,2,o-3,p09,bii3-w,R01
782,2,isolation,p09,bii3-v,R01
783,2,o-7,p09,zii7-w,R01
784,4,n-n,p09,noom-w,R01
785,4,n-n,p09,muun-w,R01
786,4,n-o,p09,muus-w,R01
787,4,n-o,p09,mooz-w,R01
788,2,7-o,p09,7ook-w,R01
789,4,7-n,p09,7oom-w,R01
790,2,3-o,p09,3aaf-w,R01
791,4,n-7,p09,naa7-w,R01
792,2,isolation,p09,naa7-v,R01
793,4,n-n,p09,naam-w,R01
794,1,isolation,p09,naam-v,R01
795,5,o-n,p09,doom-w,R01
796,1,isolation,p09,doom-v,R01
797,5,3-n,p09,3oon-w,R01
798,1,3-o,p09,3eeb-w,R01
799,1,isolation,p09,3eeb-v,R01
800,5,o-n,p09,saam-w,R01
801,3,isolation,p09,saam-v,R01
802,4,3-n,p09,3aam-w,R01
803,2,7-o,p09,7aad-w,R01
804,4,3-n,p09,3een-w,R01
805,2,3-o,p09,3iish-w,R01
806,4,7-o,p09,7eef-w,R01
807,2,isolation,p09,7eef-v,R01
808,1,o-3,p09,baa3-w,R01
809,2,o-o,p09,beet-w,R01
810,2,o-o,p09,boosh-w,R01
